angleUpDown,angleLeftRight,browOuterUpLeft,browOuterUpRight,jawOpen,eyeBlinkLeft,eyeBlinkRight,smileLeft,smileRight
-0.007462192666852683,-0.03645123250336283,0.2731598913669586,0.07704070210456848,0.015155861154198647,0.02136157639324665,0.022853661328554153,5.814996256958693e-05,5.4306554375216365e-05
-0.004361610614436009,-0.036007804930641193,0.21622997522354126,0.025510840117931366,0.011920210905373096,0.03041965141892433,0.04463671147823334,0.00010422217746963724,0.00013533458695746958
-0.008565136196796807,-0.03608035941369576,0.271563321352005,0.0784544050693512,0.013349400833249092,0.013933983631432056,0.021740702912211418,1.5809901015018113e-05,1.687023905105889e-05
-0.009079450131498846,-0.03627074292908733,0.2580398917198181,0.07853099703788757,0.014051676727831364,0.014771884307265282,0.021811695769429207,1.4211543202691246e-05,1.553112451802008e-05
-0.006614675887609161,-0.03317724616598282,0.1711411029100418,0.11181415617465973,0.014375679194927216,0.02394958771765232,0.018823085352778435,2.4367096557398327e-05,1.7728521925164387e-05
-0.006149899825573362,-0.0332504023279534,0.16093941032886505,0.10294375568628311,0.014587733894586563,0.02228018455207348,0.017855320125818253,3.0482076908810996e-05,2.39190376305487e-05
-0.007433946327436294,-0.03375023359726845,0.1516810804605484,0.08667890727519989,0.010851590894162655,0.019998697564005852,0.014837495051324368,7.278739212779328e-05,6.363895954564214e-05
-0.007305951363817358,-0.034156385864829726,0.16220973432064056,0.0978204533457756,0.010122333653271198,0.01873629540205002,0.014828374609351158,5.62683489988558e-05,4.4493899622466415e-05
-0.009437140413947458,-0.034319665426515815,0.28412139415740967,0.059964317828416824,0.01617884635925293,0.02017727866768837,0.020088350400328636,2.742633114394266e-05,2.8604255930986255e-05
-0.006458522648809855,-0.03425497786641727,0.24498064815998077,0.107164666056633,0.012778033502399921,0.024592852219939232,0.015130629763007164,3.347197707626037e-05,3.6367946449900046e-05
-0.006844610404383552,-0.03365729539566471,0.2629877030849457,0.10759911686182022,0.013193623162806034,0.023353908210992813,0.01700829342007637,2.8668517188634723e-05,3.401661160751246e-05
-0.0064969982232447225,-0.035946440290573874,0.2794927954673767,0.0978049710392952,0.015317153185606003,0.03510842099785805,0.022153213620185852,3.024423676833976e-05,3.388713230378926e-05
-0.007077694339210447,-0.03493541779927532,0.26689109206199646,0.08579041808843613,0.017599863931536674,0.04227317124605179,0.025656990706920624,2.1497202396858484e-05,2.600487641757354e-05
-0.004476600242717932,-0.03273793730099297,0.15467137098312378,0.08904385566711426,0.013815216720104218,0.04061806574463844,0.02290491573512554,1.6615033018752e-05,1.654719380894676e-05
-0.0038605163313988277,-0.03300868573435257,0.13717617094516754,0.08761684596538544,0.013508431613445282,0.041097063571214676,0.024636635556817055,2.63273213931825e-05,2.489519101800397e-05
-0.0040076640595902045,-0.03259523159860119,0.16868506371974945,0.09139936417341232,0.014187999069690704,0.03992909938097,0.02339840680360794,2.2166346752783284e-05,1.9752560547203757e-05
-0.005477815972701636,-0.032952687437295035,0.22886647284030914,0.0826152116060257,0.015967106446623802,0.023373425006866455,0.012625680305063725,1.9357075871084817e-05,1.842019810283091e-05
-0.006086618371944473,-0.034280429950671466,0.22334837913513184,0.07497511804103851,0.01605234108865261,0.03533407673239708,0.019862692803144455,2.1062869564048015e-05,1.8743861801340245e-05
-0.005962280808030114,-0.031922183584394304,0.07663185149431229,0.04245752468705177,0.019734449684619904,0.05696461349725723,0.04825429245829582,1.2407093890942633e-05,1.583694393048063e-05
-0.00516342989355992,-0.032541722228731314,0.09627500921487808,0.053731899708509445,0.019646786153316498,0.0600629560649395,0.037692341953516006,1.4866907804389484e-05,1.702315785223618e-05
-0.003917930704120503,-0.03164931258132358,0.13662779331207275,0.10607863962650299,0.014816530980169773,0.05326958745718002,0.02715800143778324,2.856892388081178e-05,2.7832487830892205e-05
-0.005439419171233407,-0.0344171711087293,0.08467292785644531,0.05927644297480583,0.01707683876156807,0.05205177515745163,0.021809080615639687,2.4593315174570307e-05,2.5721585188875906e-05
-0.004911773959631183,-0.03436407395823381,0.08093670755624771,0.05672147870063782,0.015722906216979027,0.05533962696790695,0.02178509533405304,3.6327732232166454e-05,3.785991793847643e-05
-0.008071219688087598,-0.03321639922032834,0.1857396960258484,0.07780956476926804,0.014342259615659714,0.024874648079276085,0.015544836409389973,4.528488716459833e-05,3.690696757985279e-05
-0.008213154086274611,-0.033525521415003624,0.22171619534492493,0.07676440477371216,0.014789327047765255,0.02716812863945961,0.01611829362809658,6.245066470000893e-05,5.095636151963845e-05
-0.007052429959953159,-0.039356907881226186,0.10056892037391663,0.11225124448537827,0.009831689298152924,0.03541454300284386,0.0233979020267725,3.8250516809057444e-05,4.0630093280924484e-05
-0.006540805763263106,-0.03948729785981517,0.10365132242441177,0.11431337893009186,0.00950120110064745,0.0353277288377285,0.024464018642902374,4.328356953919865e-05,4.410785186337307e-05
-0.006471377162566143,-0.03952259517878138,0.10292460769414902,0.10995535552501678,0.010571795515716076,0.03410976752638817,0.023795077577233315,4.526644988800399e-05,4.44126344518736e-05
-0.003913106817228461,-0.05068121799885336,0.200669527053833,0.017952335998415947,0.005800109356641769,0.24910417199134827,0.142422154545784,9.780385880731046e-05,0.00014074452337808907
-0.0038293308019782288,-0.05035627523739205,0.17610421776771545,0.01357727125287056,0.00585067318752408,0.252886563539505,0.15221311151981354,0.00014173303497955203,0.00019756480469368398
0.011808727963438674,-0.06486746357800348,0.17281335592269897,0.08651794493198395,0.003558499738574028,0.22375905513763428,0.1602209359407425,0.00045773308374918997,0.0006444323225878179
0.015116990537485818,-0.0619309182295139,0.18028081953525543,0.10186667740345001,0.004175935871899128,0.1355522871017456,0.1108798235654831,0.0002292071294505149,0.00032072485191747546
0.01803640781318225,-0.06067013626626664,0.028926407918334007,0.08115112036466599,0.0014594064559787512,0.3214815855026245,0.22507353127002716,0.0035626813769340515,0.005405408330261707
