browOuterUpLeft,browOuterUpRight,jawOpen,distanceBetweenCornerEyes,verticalAngle,horizontalAngle
0.0304108653217554,0.0171854794025421,0.0010293463710695,0.5974420504644512,-3.3034512206271107,-3.02957531545323
0.0308604575693607,0.0183702930808067,0.0011433841427788,0.597434340044856,-3.3613516446574994,-3.0496357458244807
0.0339327417314052,0.0200253296643495,0.0010481281206011,0.5974204847589134,-3.291069146520972,-3.0744288509763926
0.0337715484201908,0.0234066750854253,0.0010983130196109,0.5977892866358161,-3.263099167167983,-3.083913279687
0.0367748402059078,0.0237074326723814,0.0011365689570084,0.5978354616090655,-3.247278399918518,-3.0715379931556255
0.0376242585480213,0.0258428175002336,0.0011086371960118,0.5977501580491662,-3.2628589247782243,-3.0619105348864046
0.0376688539981842,0.0261113010346889,0.0011105842422693,0.5976244574412704,-3.2635200408945195,-3.1164399946490593
0.0373598262667655,0.0249631889164447,0.0011555969249457,0.5975412577390671,-3.2420547176901904,-3.077493873224734
0.0398969650268554,0.0263917744159698,0.00100749428384,0.5978541588410735,-3.281048570144889,-3.031396128922653
0.0366471223533153,0.0218946449458599,0.0011283471249043,0.5976468240842223,-3.2219500409603516,-3.009828290189695
0.0354610383510589,0.0236223042011261,0.0010017162421718,0.5978545174002647,-3.2352070746194,-3.063153320898218
0.0349383354187011,0.0179428216069936,0.0012591748964041,0.5978434830904007,-3.2003475472334175,-3.0916339234735943
0.0307073313742876,0.0148418815806508,0.0011534595396369,0.5986476140096783,-3.0138516804270528,-3.118699963664468
0.0243217702955007,0.0165173914283514,0.015402085147798,0.5998721299692988,-3.2713827465508487,-2.953182069102019
0.0366109460592269,0.0366934239864349,0.3886445462703705,0.5971592320129275,-4.218224672604888,-2.96292260956255
0.0375387966632843,0.0340182036161422,0.5086371898651123,0.5946878725662827,-4.724894075943757,-2.8937705889528833
0.0587079003453254,0.058672446757555,0.4796410799026489,0.5922656999900936,-5.13758239461999,-2.944236993318786
0.0516973510384559,0.0478062033653259,0.5379133224487305,0.5916828052140772,-5.105831317693491,-2.917485391691992
0.0574570931494236,0.0508024282753467,0.5326399803161621,0.590891299303621,-5.246299864587221,-2.962565106739234
0.0572918578982353,0.0522276945412159,0.4875002801418304,0.5902247480116783,-5.334631460330967,-2.8997507716311874
0.0557480156421661,0.0517798028886318,0.4851509928703308,0.590127415722236,-5.275136967882794,-2.9081684442143074
0.0481744073331356,0.0413231663405895,0.5444554090499878,0.5896226565819234,-5.318030104923749,-3.0749161030989813
0.0495239607989788,0.0441471338272094,0.521392285823822,0.589713656809181,-5.334940901602674,-2.986620462424113
0.0617086477577686,0.0581108480691909,0.5115299224853516,0.5893156777601689,-5.373944252218623,-3.0817164081539703
0.0462083630263805,0.0448768585920333,0.5618679523468018,0.5895576251205056,-5.296352336688371,-3.044764977678033
0.0469433329999446,0.0456604585051536,0.5651841163635254,0.5890780845656991,-5.395419960843852,-3.0170018077322616
0.0625096336007118,0.0549835003912448,0.5306226015090942,0.5896853220183402,-5.263060081898932,-3.101253609745174
0.0538935847580432,0.0609937757253646,0.55958092212677,0.5890613743104041,-5.213954993449993,-3.0585870617957376
0.0491612292826175,0.0589021667838096,0.5591745376586914,0.5889965025708079,-5.149624938780919,-3.0972506216031945
0.0651238709688186,0.0579879432916641,0.5515804290771484,0.5897072704974561,-5.195747034082793,-3.0248475796131493
0.0583054013550281,0.048785500228405,0.5394566655158997,0.5893198838457464,-5.235586590592662,-3.022949524251075
0.0579662397503852,0.0457684099674224,0.5407778024673462,0.5896899497602134,-5.204249560608391,-3.0394987001890788
0.0565456636250019,0.0475895591080188,0.5503101348876953,0.5898271792102605,-5.171494086005026,-3.02962084133147
0.0636006221175193,0.0569136478006839,0.5434575080871582,0.5902840383350849,-5.025070839729646,-3.055052244496244
0.0712330117821693,0.0694894045591354,0.5795174837112427,0.5905953939072787,-4.905815340284374,-2.989622805845344
0.0652357190847396,0.0632832944393158,0.5702366232872009,0.5916400575079024,-4.7887821421460215,-3.0820537605745173
0.0545296035706996,0.0545708052814006,0.5831657648086548,0.5920771406963468,-4.639922088488974,-3.0707447463228195
0.0599429421126842,0.0542138665914535,0.5583657026290894,0.5921400701627134,-4.63735403087539,-3.1014776012894867
0.0501250773668289,0.0487876310944557,0.5132735371589661,0.5942373918369411,-4.290942829965054,-3.1478459538968826
0.0385235920548439,0.0408091731369495,0.4854040145874023,0.5940083698369563,-4.367002204251352,-3.1042233852305388
0.0348030030727386,0.0366955995559692,0.452856183052063,0.5948105519637465,-4.235235030849174,-3.1448031776658953
0.035502839833498,0.0308489650487899,0.3758222758769989,0.5961756501346825,-3.957742887272905,-3.1099985889529926
0.0387074202299118,0.0326499789953231,0.305959403514862,0.5961330998688935,-3.984822068377306,-3.131866575193505
0.0367607064545154,0.0291580129414796,0.2132340222597122,0.5966379605233668,-3.7815571960230074,-3.0208422276796623
0.0534786581993103,0.02565080486238,0.0966695100069046,0.5970012005418538,-3.5882818364215945,-3.071957142664744
0.0463537089526653,0.0222491696476936,0.0721364244818687,0.5977566121146083,-3.308205819704854,-3.103944048027619
0.0498744957149028,0.0212845224887132,0.0232666619122028,0.5978699913248419,-3.2179869288815035,-3.0977349701869996
0.0504781417548656,0.0212257094681262,0.0047711813822388,0.5982459755614399,-2.967678073403808,-3.066655496355786
0.0605621710419654,0.0248644482344388,0.0013913030270487,0.597252775914967,-3.0614047346115485,-3.1036436377553795
0.0481343455612659,0.0258082542568445,0.0009283193503506,0.5978312538936733,-2.9438318456025883,-3.204909499111533
0.0469804666936397,0.0236216187477111,0.001084377290681,0.5971656395122409,-2.9976552386635333,-3.165360367569001
