browOuterUpLeft,browOuterUpRight,jawOpen,eyeBlinkLeft,eyeBlinkRight,smileLeft,smileRight,angleUpDown,angleLeftRight
0.0033104587346315,0.0026310933753848,0.0011453349143266,0.0955518260598182,0.030958391726017,0.026004621759057,0.0135938460007309,-1.6927960320927073,-0.6805204137944361
0.0044061369262635,0.0034899672027677,0.0012190690031275,0.1159618124365806,0.0387020520865917,0.021840838715434,0.0102680157870054,-1.725473844337544,-0.7386389743516548
0.0056653479114174,0.0040117758326232,0.0012280670925974,0.0946070775389671,0.0328283719718456,0.0216202344745397,0.0106908520683646,-1.582196512529396,-0.7070829178494753
0.0043280650861561,0.0037578733172267,0.0013417898444458,0.0998392105102539,0.0326079688966274,0.0196628924459218,0.0081638945266604,-1.547080364713859,-0.7004685668420618
0.0051286714151501,0.0037668542936444,0.0011023920960724,0.1047579273581504,0.0401107184588909,0.0181186273694038,0.0082890503108501,-1.4260961358392117,-0.7127266824590351
0.004320538137108,0.0036204224452376,0.0012194832088425,0.0994163155555725,0.0340279825031757,0.0138172628358006,0.0064965677447617,-1.4699120337443143,-0.7616507668238413
0.005042896606028,0.0034567264374345,0.0008029527380131,0.0877261608839035,0.0329012759029865,0.0257119704037904,0.0125295957550406,-1.180094473939155,-0.7624178920429328
0.0078961448743939,0.0042039602994918,0.0009454231476411,0.0885820910334587,0.0418641194701194,0.0264924596995115,0.0121847465634346,-0.6581836219520963,-0.7412378611173429
0.0113918762654066,0.0058570113033056,0.0009416415705345,0.06855259090662,0.0287369433790445,0.0085814194753766,0.0050203376449644,-0.1949910601198342,-0.6798891880741516
0.0297357626259326,0.0208035763353109,0.0005525953602045,0.0290255881845951,0.018245305866003,0.0070800883695483,0.0050047035329043,0.08484987888223317,-0.7598217618292982
0.0355186834931373,0.0206779688596725,0.0005526959430426,0.0315165221691131,0.0172807965427637,0.0076270690187811,0.0056459978222846,0.11967460653626835,-0.7603803613228391
0.0167988110333681,0.0100640384480357,0.0007892930298112,0.0446309521794319,0.0246612057089805,0.0088131912052631,0.0055795763619244,-0.12242441052218679,-0.7265639943087845
0.0192699078470468,0.0142691656947135,0.0010902046924456,0.0398307479918003,0.0163380019366741,0.008162647485733,0.0049880081787705,-0.34657681013354585,-0.7921951464174851
0.0065132090821862,0.0038167594466358,0.0010894950246438,0.0614696219563484,0.0193750336766242,0.0087110958993434,0.00432741176337,-1.2158776830406686,-0.8204347555819779
0.0047112540341913,0.0030831662006676,0.0009174909209832,0.0622425600886344,0.0176812298595905,0.0174959283322095,0.0077065965160727,-1.6659800505355218,-0.7922608504317158
0.0049128532409667,0.0035911125596612,0.0015011465875431,0.0444666258990764,0.0121936285868287,0.0155494874343276,0.0057099503464996,-2.3599942936935947,-0.7858784531493236
0.0050987587310373,0.0031287232413887,0.0015636628959327,0.0571897439658641,0.0201502945274114,0.0153403729200363,0.0084128584712743,-2.6006809239539876,-0.7647589983413356
0.0044673364609479,0.0034858682192862,0.0015729684382677,0.057418018579483,0.01697314158082,0.0090348348021507,0.0032806950621306,-2.339239734302294,-0.8481736227225964
0.005414102692157,0.0032890550792217,0.0007236779783852,0.0505180433392524,0.0107039334252476,0.0096383756026625,0.0046428795903921,-1.785870767117927,-0.8867036866075462
0.0061439890414476,0.003781967330724,0.0008832296589389,0.0586980991065502,0.0164993368089199,0.0169530156999826,0.0076637067832052,-1.1020320934861374,-0.9433091636718077
0.0137033136561512,0.0074769812636077,0.0006223832606337,0.040934283286333,0.010758239775896,0.0103131085634231,0.0056107649579644,-0.3160965261530767,-0.9454472251399721
0.0330415107309818,0.0204638745635747,0.0005658288137055,0.0256818663328886,0.0128403240814805,0.0096170287579298,0.0074850195087492,0.14127261854838674,-1.019519537548009
0.0266229584813117,0.0145467910915613,0.0006673737079836,0.0324865579605102,0.0145724695175886,0.0167891662567853,0.0103978887200355,0.2294601645058192,-0.9890496547365142
0.04737538844347,0.0257509872317314,0.0004790369130205,0.0268476139754056,0.0171596445143222,0.0175822842866182,0.0131821753457188,0.06793457535831901,-1.0167676967196235
0.0118091013282537,0.0072750304825603,0.0007932142470963,0.0296700038015842,0.0123921791091561,0.0135150421410799,0.0076230745762586,-0.4272381723734512,-1.1048334252783967
0.0088204499334096,0.0056817862205207,0.0007970674196258,0.0526039376854896,0.0180832501500844,0.0256037954241037,0.0121441790834069,-1.0064466582757408,-1.1001965688487396
0.0052665546536445,0.0031021763570606,0.0011027908185496,0.0962927713990211,0.0329631157219409,0.0198393799364566,0.0095861852169036,-1.3366206475258364,-1.0712067685423474
0.0084573589265346,0.0050352988764643,0.0014091621851548,0.0816679894924163,0.0222765207290649,0.0178506970405578,0.0084022870287299,-1.6909373202815623,-1.0724157384394895
0.0082250013947486,0.0049099302850663,0.0012210512068122,0.0562195815145969,0.0161704570055007,0.0168149881064891,0.0085688969120383,-1.513872349916745,-1.1468074561814725
0.0122432122007012,0.0083443997427821,0.0009932952234521,0.0441473945975303,0.0123981330543756,0.0110056279227137,0.005715194158256,-1.0345462448674652,-1.1657664316593799
0.0208205860108137,0.0145250642672181,0.0007810031529515,0.0411453023552894,0.0180209688842296,0.013616126962006,0.0073705161921679,-0.2758359000375229,-1.095480715684269
0.0374941080808639,0.0199887380003929,0.0005223754560574,0.0448868349194526,0.0199828688055276,0.0142641076818108,0.0100469272583723,0.23870836182250493,-1.1879802536254196
0.0207155402749776,0.0155891999602317,0.0007199448300525,0.0365891493856906,0.0213332697749137,0.0121786529198288,0.0089967856183648,0.5166255928186437,-1.2209115426790764
0.0268752798438072,0.0234150532633066,0.0007397231529466,0.0313074775040149,0.019864359870553,0.0134294480085372,0.0098443152382969,0.585733965123566,-1.2137436282165497
0.0341421253979206,0.0215537436306476,0.0005146727780811,0.03109578974545,0.016800994053483,0.0172444339841604,0.0148275811225175,0.20449968773149715,-1.1631704240182372
0.0191960949450731,0.011703529395163,0.0009068824583664,0.0315795429050922,0.0147415464743971,0.0159313771873712,0.0094856908544898,-0.29869776453368657,-1.1588559294624574
0.009491822682321,0.0063618193380534,0.0010465901577845,0.0721313133835792,0.0300609394907951,0.0178733244538307,0.0086046690121293,-0.8389509235803281,-1.116903239302856
0.0060395305044949,0.0034030154347419,0.0015397261595353,0.0752790048718452,0.0249414630234241,0.0064921625889837,0.0036749194841831,-1.196653348751423,-1.0718117544752164
0.0059113465249538,0.0035743995103985,0.0014836905756965,0.0627786442637443,0.0248468313366174,0.0053210211917757,0.0031055463477969,-1.5704821196139054,-0.9628961411515063
0.0047140093520283,0.0032716188579797,0.0013717649271711,0.0700560137629509,0.0197371467947959,0.0065322062000632,0.0034716471564024,-1.6178841492177019,-1.007690059449517
0.0094293486326932,0.0051193456165492,0.0013923050137236,0.0655097812414169,0.0179844591766595,0.006919961888343,0.0039062681607902,-1.6531584691553856,-1.0441256396373886
0.0055416519753634,0.0032993054483085,0.0012244636891409,0.0963058844208717,0.041317943483591,0.0098753096535801,0.004998043179512,-1.471047093928135,-1.0175835027015179
0.0063678622245788,0.0041674077510833,0.0009596984600648,0.0808850899338722,0.0359220094978809,0.0130558768287301,0.0072272224351763,-1.227189629657573,-0.894440627428757
