app//movies/WIN_20250303_21_20_32_Pro.mp4
browOuterUpLeft,browOuterUpRight,jawOpen,eyeBlinkLeft,eyeBlinkRight,smileLeft,smileRight,angleUpDown,angleLeftRight
0.011567321605980396,0.03239838406443596,0.006577737163752317,0.054903794080019,0.03723159432411194,0.0002693908172659576,0.00014138923143036664,-0.6962006837556189,-2.374431525226087
0.02884719707071781,0.0573200024664402,0.012788316234946251,0.0624278262257576,0.07531571388244629,5.2973544370615855e-05,3.791086419369094e-05,-0.5779819420206245,-1.983761512562204
0.033980339765548706,0.06380411982536316,0.01233655959367752,0.07698041945695877,0.08629200607538223,2.099947232636623e-05,1.0842048141057603e-05,-0.7121267243950995,-1.8255902663794017
0.023250637575984,0.05140874534845352,0.020015927031636238,0.04583970457315445,0.054408397525548935,0.00012141248589614406,6.827446486568078e-05,-0.6627370132664768,-1.9469120787036487
0.03314676880836487,0.057662274688482285,0.06510788202285767,0.05782591179013252,0.07016665488481522,6.279583612922579e-05,3.746217043953948e-05,-0.9161294695559477,-1.9621906834669003
0.04155626893043518,0.0624755434691906,0.09993991255760193,0.06619050353765488,0.08560492843389511,7.997063221409917e-05,5.8432964578969404e-05,-0.8579954032958651,-1.9683073095003245
0.02780027501285076,0.059987302869558334,0.06060074642300606,0.05411701276898384,0.03904462605714798,0.00012570965918712318,7.331717642955482e-05,-1.0101186363964574,-2.028779670820522
0.019248494878411293,0.06194406747817993,0.030917508527636528,0.05521667003631592,0.03226833790540695,0.0001655496598687023,9.090852836379781e-05,-0.9343268574659231,-2.099480396739319
0.02203487604856491,0.07664740085601807,0.0105659868568182,0.05356454476714134,0.04877564683556557,4.2807310819625854e-05,2.6407760742586106e-05,-0.40734790829311174,-2.0773918275591696
0.03337953984737396,0.060285042971372604,0.012812013737857342,0.043787263333797455,0.04989369958639145,3.834726521745324e-05,2.931234848801978e-05,-0.4747251479178186,-1.9201579761196264
0.017433740198612213,0.06317330151796341,0.028920236974954605,0.05363660305738449,0.03447980433702469,5.606342529063113e-05,3.302235927549191e-05,-0.8425691960285708,-2.261183666630939
0.012150032445788383,0.035229042172431946,0.028597449883818626,0.05916516110301018,0.05423055216670036,5.5041859013726935e-05,3.354787622811273e-05,-0.8846858169031396,-1.9659737686400571
0.012742627412080765,0.04700930044054985,0.02371818572282791,0.08444028347730637,0.04531626030802727,0.00011187966447323561,4.6130429836921394e-05,-0.8586232103440912,-2.0598339953172666
0.0795222744345665,0.11016949266195297,0.020129229873418808,0.05166839435696602,0.06013844534754753,1.3932364709035028e-05,6.792899966967525e-06,-0.5873253654096555,-1.9940049512564944
0.04026934131979942,0.0860314592719078,0.01253956463187933,0.05896716192364693,0.06711891293525696,3.1332994694821537e-05,1.617338421056047e-05,-0.6207593500837469,-1.900512387344842
0.03372544050216675,0.07530592381954193,0.008267754688858986,0.06947625428438187,0.042170215398073196,6.244185351533815e-05,3.895302506862208e-05,-0.4576204940865252,-2.087226105931726
