gesture_4__1740472363.csv,app/model/raw/gru_1740428391,"Predicted Gesture: ridicat, Confidence: 0.5438"
gesture_4__1740472363.csv,app/model/raw/gru_1740435017,"Predicted Gesture: da, Confidence: 0.9961"
gesture_4__1740472363.csv,app/model/raw/gru_1740430614,"Predicted Gesture: ridicat, Confidence: 0.5298"
gesture_4__1740472363.csv,app/model/raw/gru_1740429990,"Predicted Gesture: ridicat, Confidence: 0.9767"
gesture_4__1740472363.csv,app/model/raw/gru_1740430213,"Predicted Gesture: ridicat, Confidence: 0.8684"
gesture_4__1740472363.csv,app/model/raw/gru_1740427295,"Predicted Gesture: ridicat, Confidence: 0.4353"
gesture_4__1740472363.csv,app/model/raw/gru_1740431576,"Predicted Gesture: ridicat, Confidence: 0.4440"
gesture_4__1740472363.csv,app/model/raw/gru_1740430299,"Predicted Gesture: ridicat, Confidence: 0.9560"
gesture_4__1740472363.csv,app/model/raw/gru_1740432739,"Predicted Gesture: da, Confidence: 0.7421"
gesture_4__1740472363.csv,app/model/raw/gru_1740429464,"Predicted Gesture: da, Confidence: 0.4972"
gesture_4__1740472363.csv,app/model/raw/gru_1740429857,"Predicted Gesture: da, Confidence: 0.5706"
gesture_4__1740472363.csv,app/model/raw/gru_1740427557,"Predicted Gesture: ridicat, Confidence: 0.8310"
gesture_4__1740472363.csv,app/model/raw/gru_1740429065,"Predicted Gesture: ridicat, Confidence: 0.5298"
gesture_4__1740472363.csv,app/model/raw/gru_1740429233,"Predicted Gesture: ridicat, Confidence: 0.6826"
gesture_4__1740472363.csv,app/model/raw/gru_1740433535,"Predicted Gesture: nimic, Confidence: 0.8191"
gesture_4__1740472363.csv,app/model/raw/gru_1740427944,"Predicted Gesture: nimic, Confidence: 0.9009"
gesture_4__1740472363.csv,app/model/raw/gru_1740428761,"Predicted Gesture: nimic, Confidence: 0.5366"
gesture_4__1740472363.csv,app/model/raw/gru_1740428599,"Predicted Gesture: da, Confidence: 0.7807"
gesture_4__1740472363.csv,app/model/raw/gru_1740428350,"Predicted Gesture: da, Confidence: 0.5573"
gesture_4__1740472363.csv,app/model/raw/gru_1740430169,"Predicted Gesture: nimic, Confidence: 0.4147"
gesture_4__1740472363.csv,app/model/raw/gru_1740434150,"Predicted Gesture: da, Confidence: 0.7424"
gesture_4__1740472363.csv,app/model/raw/gru_1740428017,"Predicted Gesture: nimic, Confidence: 0.8206"
gesture_4__1740472363.csv,app/model/raw/gru_1740436710,"Predicted Gesture: nimic, Confidence: 0.9741"
gesture_4__1740472363.csv,app/model/raw/gru_1740427608,"Predicted Gesture: ridicat, Confidence: 0.9508"
gesture_4__1740472363.csv,app/model/raw/gru_1740428647,"Predicted Gesture: ridicat, Confidence: 0.9562"
gesture_4__1740472363.csv,app/model/raw/gru_1740433060,"Predicted Gesture: nimic, Confidence: 0.9738"
gesture_4__1740472363.csv,app/model/raw/gru_1740432164,"Predicted Gesture: ridicat, Confidence: 0.8277"
gesture_4__1740472363.csv,app/model/raw/gru_1740427249,"Predicted Gesture: ridicat, Confidence: 0.6753"
gesture_4__1740472363.csv,app/model/raw/gru_1740427418,"Predicted Gesture: ridicat, Confidence: 0.8929"
gesture_4__1740472363.csv,app/model/raw/gru_1740429515,"Predicted Gesture: ridicat, Confidence: 0.5436"
gesture_4__1740472363.csv,app/model/raw/gru_1740429372,"Predicted Gesture: ridicat, Confidence: 0.9511"
gesture_4__1740472363.csv,app/model/raw/gru_1740431725,"Predicted Gesture: ridicat, Confidence: 0.8984"
gesture_4__1740472363.csv,app/model/raw/gru_1740431120,"Predicted Gesture: ridicat, Confidence: 0.7552"
gesture_4__1740472363.csv,app/model/raw/gru_1740430454,"Predicted Gesture: ridicat, Confidence: 0.4818"
gesture_4__1740472363.csv,app/model/raw/gru_1740428493,"Predicted Gesture: ridicat, Confidence: 0.9733"
gesture_4__1740472363.csv,app/model/raw/gru_1740429773,"Predicted Gesture: nimic, Confidence: 0.5478"
gesture_4__1740472363.csv,app/model/raw/gru_1740428176,"Predicted Gesture: ridicat, Confidence: 0.9192"
gesture_4__1740472363.csv,app/model/raw/gru_1740430517,"Predicted Gesture: nimic, Confidence: 0.3458"
gesture_4__1740472363.csv,app/model/raw/gru_1740430912,"Predicted Gesture: nimic, Confidence: 0.5075"
gesture_4__1740472363.csv,app/model/raw/gru_1740427751,"Predicted Gesture: ridicat, Confidence: 0.9767"
