browOuterUpLeft,browOuterUpRight,jawOpen,distanceBetweenCornerEyes,verticalAngle,horizontalAngle
0.0119822146371006,0.0057560838758945,0.0016580841038376,0.6099000535905361,-1.479499852602755,-1.8576897002485757
0.012423668988049,0.006175494287163,0.0018120782915502,0.6100646816194056,-1.4235577867585167,-1.81486964591847
0.0172594953328371,0.0071828779764473,0.0019021235639229,0.6103870309889317,-1.3101620157266218,-1.811679590247385
0.0159967560321092,0.0070447195321321,0.0020945719443261,0.6097863446921109,-1.5173651634232048,-1.7746589347383617
0.0128041030839085,0.0054730419069528,0.0018792875343933,0.6099512483924626,-1.4556479043654247,-1.792690493758988
0.0212083384394645,0.0080784279853105,0.0016069279517978,0.6099648308008909,-1.4623597686749559,-1.773789171258039
0.0132482554763555,0.006720742676407,0.0016089075943455,0.6096363384276628,-1.452857030376761,-1.8024417272921927
0.012788712978363,0.0057736160233616,0.0019531585276126,0.6094979140907526,-1.5993666233491954,-1.7806247966210875
0.0174038149416446,0.0086542572826147,0.0019967725966125,0.6107518561184405,-1.3186499792183273,-1.7846149996696163
0.0254494454711675,0.0099357198923826,0.0011565830791369,0.6123446691781282,-0.9139361062623035,-1.7462231930318863
0.0243838299065828,0.0128620835021138,0.0013560936786234,0.6133371386677026,-0.4768538306838802,-1.7689492844077557
0.0241960696876049,0.0126578258350491,0.0011260685278102,0.6149640902876853,-0.024211190163413145,-1.835340369824264
0.0254021938890218,0.0116957826539874,0.0008124975138343,0.6157624758780001,0.06941404682960907,-1.7756124690974961
0.0244520958513021,0.0129267461597919,0.0007693431689403,0.6154728922992945,0.05786427063012723,-1.771727670320926
0.0250545125454664,0.0142769338563084,0.0011820844374597,0.6147561855614184,-0.32521769652707766,-1.7284605135136568
0.0311004370450973,0.0160805564373731,0.0010034494334831,0.6149133965373039,-0.486330821182417,-1.7053896414575922
0.0306660309433937,0.0148957166820764,0.0018988476367667,0.613316098228097,-1.0047392761269913,-1.5997170274982715
0.0220384001731872,0.0099574765190482,0.0020830582361668,0.612784894183278,-1.1913821772253306,-1.6420228914232613
0.0122311674058437,0.0049645747058093,0.003496395656839,0.6121760625392199,-1.4345543303368893,-1.608634971473979
0.0084808440878987,0.004440305288881,0.0038554440252482,0.6109299082309007,-1.875667002676187,-1.608621581811157
0.0072670769877731,0.0050557754002511,0.0035870946012437,0.6092767473310231,-2.1883804807639926,-1.5674720648215983
0.0077847996726632,0.0052548721432685,0.003263957099989,0.6095119137316941,-2.12143229635752,-1.464516515151907
