browOuterUpLeft,browOuterUpRight,jawOpen,distanceBetweenCornerEyes,verticalAngle,horizontalAngle
0.0098565462976694,0.0091813309118151,0.0009513344266451,0.6245728917419909,0.4420816671767017,-1.6105300408730998
0.0106928208842873,0.0095816552639007,0.0012196428142488,0.6241673510521649,0.46216214969250574,-1.472284845034698
0.0110686728730797,0.0095177656039595,0.0009275338379666,0.624044645577669,0.4619832588001554,-1.4520767062839393
0.0151827093213796,0.0108305346220731,0.0011020876700058,0.6238723509013653,0.41878282555851265,-1.4773389862293709
0.0132971042767167,0.0101188896223902,0.0011237486032769,0.624160312116146,0.41208581797489996,-1.4576363967607622
0.0133207431063056,0.0101107927039265,0.0009761629044078,0.6238916944712399,0.4107094154550704,-1.4844331142661975
0.0143086416646838,0.0101579613983631,0.0013535015750676,0.6241757199168204,0.36208711333897575,-1.4597014944792275
0.0131047405302524,0.0089965816587209,0.0009651110740378,0.6240190006792544,0.4424269652226641,-1.4807672858346919
0.0126280644908547,0.0102602168917655,0.0010286921169608,0.6238700933754444,0.3739557902905894,-1.4914075154694213
0.0134145487099885,0.0094399247318506,0.0009153451537713,0.6236952859908341,0.37581940855557255,-1.5155492966314095
0.0135792568325996,0.0101019730791449,0.0012813739012926,0.6234114356338978,0.20998390772465678,-1.5018154655231093
0.0156759340316057,0.0090533476322889,0.0008925998699851,0.6229435298591851,0.05263643528397337,-1.4862635436118787
0.0133664645254611,0.0141100380569696,0.2389100641012191,0.6214843653142452,-0.49806458317088365,-1.4419559773617499
0.014316014945507,0.0146729527041316,0.2411384135484695,0.620671223849058,-0.8831180838857435,-1.5241626324577215
0.0123660052195191,0.0121817206963896,0.2491168677806854,0.6190336123108864,-1.297611438372164,-1.5210579678535663
0.0136481020599603,0.0120454402640461,0.2570791840553283,0.6170842964202166,-1.5826150078969838,-1.4812889618195664
0.0143125355243682,0.0089192539453506,0.2821460366249084,0.6173282247036695,-1.8009801289367977,-1.5170600026132965
0.0187179185450077,0.012943297624588,0.2601760625839233,0.6167869269847869,-1.9487174230405602,-1.5267798610120122
0.0197391305118799,0.0132137900218367,0.2808688879013061,0.6158790346235037,-2.1308518867832746,-1.4945285794432899
0.0241567064076662,0.0152729274705052,0.3104897141456604,0.615747358649969,-2.1715222393231177,-1.4273909018779531
0.0235505495220422,0.0153970513492822,0.3174490332603454,0.6156515851616859,-2.119053436433569,-1.4360183116916296
0.023385664448142,0.0152561143040657,0.3182363510131836,0.6159853152930735,-2.121510825117978,-1.4275693536421232
0.0253387633711099,0.0168429315090179,0.3491932153701782,0.6156674027442932,-2.158590892432921,-1.4142325696355174
0.0206534247845411,0.0134871378540992,0.3444764614105224,0.6160563081502913,-2.0799224896092388,-1.4137330256356868
